,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,53393,59361,8322,59859,41442,6392,18251,35840,62751,63234,10329,63608,62728,31809,52447,9298
1,27640,60013,51918,62881,42974,2340,55648,61210,44481,49659,48701,25704,42957,11218,46271,2086
2,18148,3025,6365,53966,45536,20781,62273,2257,28753,25005,50168,52114,12246,32097,29201,42356
3,46488,49459,18089,44544,42932,10656,7798,32660,62897,22307,38356,14667,49235,16717,33158,45814
4,58386,62868,35862,9084,9784,16876,55097,16664,53364,15959,60900,22936,12884,16455,40373,31017
5,23046,54449,38355,36026,60109,18732,49623,49396,24932,37212,4971,3535,34786,51063,61211,8513
6,37278,30761,780,22093,10628,52054,20395,34637,10855,39451,17234,42865,45168,49030,29526,5493
7,15006,59856,9986,54120,35280,65282,5123,29011,6989,63038,303,50784,53562,56930,5533,26200
8,17030,52433,28273,59680,11917,17288,9538,8917,56969,37991,36035,9499,55904,40767,23000,33636
9,26332,4978,15723,8081,12052,15725,27346,3254,59160,61917,32169,32063,22132,58985,24198,7287
10,51134,25541,15839,26470,6321,8649,61738,62661,37696,3917,15386,23144,53817,1009,2819,11074
11,42540,47954,42450,29551,35848,19419,48804,12383,45008,12026,24149,41000,51132,5316,60908,50837
12,31902,28564,29280,20076,33325,33473,53584,52090,42226,24812,53187,34919,22985,61538,57405,36055
13,40794,38472,13614,19742,30862,15105,55332,12764,14806,11187,14920,28553,20388,60514,28194,12112
14,59302,64208,28761,7282,16912,26785,38987,17184,39507,46610,14532,7695,19442,20891,27798,33283
15,5604,17202,52495,1914,60873,47862,32021,37914,15550,30071,63116,35835,34153,15177,32040,40898
